wallet,chain,asset,raw_value_in,raw_value_out,value_unit,value_in_usd_est,distinct_senders,distinct_recipients,out_cnt,active_days,hours_of_day_active,night_share,round100_share,pass_through,is_accumulator,informal_score,anomaly_score,is_anomaly,is_sanctioned,hops_to_sanctioned,risk_score,attributability,risk_attribution_score,risk_tags,risk_categories,risk_source_count,is_known_risk,confirmed,label_name,label_tags,campaign_terror_score,is_top_campaign_lead,anchor_exchange,anchor_exchange_addr,anchor_usdt,anchor_links,has_exchange_anchor,actionability,components_bridged,total_bridged_size,is_bridge_wallet,country_codes,country_source,hits_interesting_country,funnel_ratio_recipients,funnel_ratio_out_cnt,is_single_recipient
0xad285fdedfc0d5f944a33e478356524293c7ec68,ethereum,USDT,445592.76119200006,416564.100105,USDT,445592.76119200006,2469,5,5,4,8,0.2717699473471041,0.012555690562980963,0.9348538315358943,False,0.6985299060921252,-0.10813605151121852,True,False,,69.5,,0,[],[],0,False,False,,,71.6,True,Binance 15,0x21a31ee1afc51d94c2efccaa2092ad1028285549,49832.919713,3.0,True,94.5,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,493.8,493.8,False
0xe865f239279350272892c30d450be9465ca3b8fa,ethereum,USDT,621438.064401,621438.064401,USDT,621438.064401,159,3,24,17,24,0.2502685284640172,0.0053705692803437165,1.0,False,0.6327956989247312,-0.029949270372029546,True,False,,53.9,,0,[],[],0,False,False,,,58.5,False,Binance 16,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,244713.713948,5.0,True,78.9,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,53.0,6.62,False
0x151311c5abdd48f55d02b422732c11359034b121,ethereum,USDT,56701.670253000004,106334.18805,USDT,56701.670253000004,50,17,22,10,11,0.11538461538461539,0.3076923076923077,1.8753272624164719,False,0.46431626794681313,-0.05317872639618315,True,False,,53.8,,0,[],[],0,False,False,,,0.6,False,Binance 18,0x9696f59e4d72e237be84ffd425dcad154bf96976,941.172512,4.0,True,78.8,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,2.94,2.27,False
0xd8b5fb5f84efe158fcc91fa5cca44cd97a49e37d,ethereum,USDT,121642.32088999999,121721.53071600001,USDT,121642.32088999999,98,18,22,13,15,0.2018348623853211,0.1834862385321101,1.0006511699663445,False,0.7966439595551182,-0.0062702578842877,True,False,,53.7,,0,[],[],0,False,False,,,24.4,False,Binance 15,0x21a31ee1afc51d94c2efccaa2092ad1028285549,525.700366,4.0,True,78.7,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.44,4.45,False
0x5da5a370ecaf1663b10a5ffadde833ddb58d2f1e,ethereum,USDT,1850000.0,1850000.0,USDT,1850000.0,1201,1,1,1,2,0.0,0.1440466278101582,1.0,False,0.9026881720430108,-0.12269336372882689,True,False,,77.2,,0,[],[],0,False,False,,,66.2,False,,,0.0,,False,77.2,0,,False,[],,False,1201.0,1201.0,True
0x61a8a99099a4d46124cf2914bd8eb8dfafd7c99d,ethereum,USDT,56844.59518100001,56809.909825,USDT,56844.59518100001,76,14,18,10,13,0.04938271604938271,0.19753086419753085,0.9993898213912938,False,0.7455768890094415,-0.0027942432261686134,True,False,,51.8,,0,[],[],0,False,False,,,16.8,False,Binance 17,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,2130.53,3.0,True,76.8,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.43,4.22,False
0x7af4a738b30775a836a050a4c85f4c58689aed38,ethereum,USDT,414029.01654300006,416815.60420699994,USDT,414029.01654300006,2904,23,23,89,24,0.2090066225165563,0.003708609271523179,1.0067304163540685,False,0.6448904758689712,-0.15346542108868233,True,False,,76.3,,0,[],[],0,False,False,,,71.4,True,,,0.0,,False,76.3,0,,False,[],,False,126.26,126.26,False
0x8b7710171181ec25ce9aa254eb074ec85559347b,ethereum,USDT,306202.73140800005,306202.7314,USDT,306202.73140800005,2439,2,25,5,24,0.6799037304452467,0.2647412755716005,0.9999999999738733,False,0.829569892467893,-0.12176274915867391,True,False,,75.2,,0,[],[],0,False,False,,,67.4,False,,,0.0,,False,75.2,0,,False,[],,False,1219.5,97.56,False
0xbf8d7d490323d775ada8b20a35472acb7fc6a0c4,ethereum,USDT,48328.797908,48554.0,USDT,48328.797908,99,19,23,11,12,0.028846153846153848,0.19230769230769232,1.0046597908855235,False,0.7990680418228954,0.019520594493431354,False,False,,49.2,,0,[],[],0,False,False,,,27.2,False,Binance 16,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,158.08305000000001,3.0,True,74.2,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.21,4.3,False
0xf8cd17784f425120de2f0d65756d8a707c13d040,ethereum,USDT,140693.56935099998,0.0,USDT,140693.56935099998,207,0,0,13,11,0.004739336492890996,0.037914691943127965,0.0,True,0.4970430107526882,-0.022449617314334258,True,False,,49.1,,0,[],[],0,False,False,,,88.8,True,Binance 16,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,51793.173258,1.0,True,74.1,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,207.0,207.0,True
